DATE,OPEN,HIGH,CLOSE,LOW,SHARES_TRADED
2016-01-25,7468.75,7487.15,7436.15,7421.2,168202502.0
2016-01-27,7469.6,7477.9,7437.75,7419.7,193389891.0
2016-01-28,7426.5,7468.85,7424.65,7409.6,283036298.0
2016-01-29,7413.35,7575.65,7563.55,7402.8,307934042.0
2016-02-01,7589.5,7600.45,7555.95,7541.25,206645021.0
2016-02-02,7566.65,7576.3,7455.55,7428.05,237338907.0
2016-02-03,7392.45,7419.4,7361.8,7350.3,197863301.0
2016-02-04,7411.45,7457.05,7404.0,7365.95,229563364.0
2016-02-05,7418.25,7503.15,7489.1,7406.65,257518899.0
2016-02-08,7489.7,7512.55,7387.25,7363.2,176758985.0
2016-02-09,7303.95,7323.45,7298.2,7275.15,218730280.0
2016-02-10,7264.3,7271.85,7215.7,7177.75,254481339.0
2016-02-11,7203.6,7208.65,6976.35,6959.95,301302956.0
2016-02-12,7023.65,7034.8,6980.95,6869.0,344210729.0
2016-02-15,7057.35,7182.8,7162.95,7056.8,365217073.0
2016-02-16,7201.25,7204.65,7048.25,7037.7,261607451.0
2016-02-17,7058.85,7123.7,7108.45,6960.65,268017961.0
2016-02-18,7177.4,7215.1,7191.75,7127.85,254331498.0
2016-02-19,7170.55,7226.85,7210.75,7145.95,198206480.0
2016-02-22,7208.85,7252.4,7234.55,7200.7,159162842.0
2016-02-23,7240.3,7241.7,7109.55,7090.7,200396978.0
2016-02-24,7075.0,7090.8,7018.7,7009.75,205898417.0
2016-02-25,7029.85,7034.2,6970.6,6961.4,291932544.0
2016-02-26,7039.3,7052.9,7029.75,6985.1,213142575.0
2016-02-29,7050.45,7094.6,6987.05,6825.8,487969285.0
2016-03-01,7038.25,7235.5,7222.3,7035.1,283561570.0
2016-03-02,7321.7,7380.35,7368.85,7308.15,348965708.0
2016-03-03,7429.55,7483.95,7475.6,7406.05,287248532.0
2016-03-04,7505.4,7505.9,7485.35,7444.1,290441230.0
